timestep,reward
44,3.4525
92444,3.4285
184844,3.502
277244,3.538
369644,3.428
462044,3.664
554444,3.703
646844,3.6775
739244,3.782
831644,3.7655
924044,3.7985
1016444,3.822
1108844,3.8735
1201244,3.988
1293644,3.9965
1386044,4.001
1478444,3.9445
1570844,3.8095
1663244,3.842
1755644,4.009
1848044,3.893
1940444,4.044
2032844,4.004
2125244,3.9965
2217644,3.975
2310044,4.011
2402444,4.0035
2494844,3.9595
2587244,4.0295
2679644,3.944
2772044,3.8775
2864444,3.9155
2956844,3.832
3049244,4.0805
3141644,3.9795
3234044,4.074
3326444,3.96
3418844,3.825
3511244,4.0685
3603644,3.9875
3696044,3.8915
3788444,3.6895
3880844,3.701
3973244,3.72
4065644,3.7605
4158044,3.8735
4250444,3.683
4342844,3.799
4435244,3.746
4527644,3.79
